algo1,algo2,winner,steps,minimax_depth,mcts_time
minimax,heuristic,1,8,4,4
minimax,heuristic,1,8,4,4
minimax,heuristic,1,8,4,4
minimax,heuristic,1,8,4,4
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
minimax,heuristic,1,8,5,5
